id,theme,title,author_short,authors_full,n_authors,year,venue,publisher,volume,pages,doi,arxiv,relevance
P01,RAG architecture,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Lewis et al.,Patrick Lewis; Ethan Perez; Aleksandra Piktus; Fabio Petroni; Vladimir Karpukhin; Naman Goyal; Heinrich Küttler; Mike Lewis; Wen-tau Yih; Tim Rocktäschel; Sebastian Riedel; Douwe Kiela,12,2020,Adv. Neural Inf. Process. Syst. (NeurIPS),arXiv,,,,2005.11401,5
P02,Retrieval,Dense Passage Retrieval for Open-Domain Question Answering,Karpukhin et al.,Vladimir Karpukhin; Barlas Oguz; Sewon Min; Patrick Lewis; Ledell Wu; Sergey Edunov; Danqi Chen; Wen-tau Yih,8,2020,Proceedings of the 2020 Conference on Empirical Methods in Natural Language Processing (EMNLP),Association for Computational Linguistics,,6769-6781,10.18653/v1/2020.emnlp-main.550,2004.04906,5
P03,RAG architecture,REALM: Retrieval-Augmented Language Model Pre-Training,Guu et al.,Kelvin Guu; Kenton Lee; Zora Tung; Panupong Pasupat; Ming-Wei Chang,5,2020,Proc. Int. Conf. Mach. Learn. (ICML),arXiv,,,,2002.08909,4
P04,RAG architecture,Leveraging Passage Retrieval with Generative Models for Open Domain Question Answering,Izacard et al.,Gautier Izacard; Edouard Grave,2,2021,Proceedings of the 16th Conference of the European Chapter of the Association for Computational Linguistics: Main Volume,Association for Computational Linguistics,,874-880,10.18653/v1/2021.eacl-main.74,2007.01282,5
P05,RAG architecture,Improving language models by retrieving from trillions of tokens,Borgeaud et al.,Sebastian Borgeaud; Arthur Mensch; Jordan Hoffmann; Trevor Cai; Eliza Rutherford; Katie Millican; George van den Driessche; Jean-Baptiste Lespiau; Bogdan Damoc; Aidan Clark; Diego de Las Casas; Aurelia Guy; Jacob Menick; Roman Ring; Tom Hennigan; Saffron Huang; Loren Maggiore; Chris Jones; Albin Cassirer; Andy Brock; Michela Paganini; Geoffrey Irving; Oriol Vinyals; Simon Osindero; Karen Simonyan; Jack W. Rae; Erich Elsen; Laurent Sifre,28,2022,Proc. Int. Conf. Mach. Learn. (ICML),arXiv,,,,2112.04426,4
P06,Retrieval,Billion-Scale Similarity Search with GPUs,Johnson et al.,Jeff Johnson; Matthijs Douze; Herve Jegou,3,2021,IEEE Transactions on Big Data,Institute of Electrical and Electronics Engineers (IEEE),7,535-547,10.1109/tbdata.2019.2921572,1702.08734,4
P07,RAG architecture,In-Context Retrieval-Augmented Language Models,Ram et al.,Ori Ram; Yoav Levine; Itay Dalmedigos; Dor Muhlgay; Amnon Shashua; Kevin Leyton-Brown; Yoav Shoham,7,2023,Transactions of the Association for Computational Linguistics,MIT Press,11,1316-1331,10.1162/tacl_a_00605,2302.00083,4
P08,RAG architecture,REPLUG: Retrieval-Augmented Black-Box Language Models,Shi et al.,Weijia Shi; Sewon Min; Michihiro Yasunaga; Minjoon Seo; Richard James; Mike Lewis; Luke Zettlemoyer; Wen-tau Yih,8,2024,Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),Association for Computational Linguistics,,8371-8384,10.18653/v1/2024.naacl-long.463,2301.12652,4
P09,Parametric memory,Language Models as Knowledge Bases?,Petroni et al.,Fabio Petroni; Tim Rocktäschel; Sebastian Riedel; Patrick Lewis; Anton Bakhtin; Yuxiang Wu; Alexander Miller,7,2019,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),Association for Computational Linguistics,,2463-2473,10.18653/v1/d19-1250,1909.01066,4
P10,Parametric memory,When Not to Trust Language Models: Investigating Effectiveness of Parametric and Non-Parametric Memories,Mallen et al.,Alex Mallen; Akari Asai; Victor Zhong; Rajarshi Das; Daniel Khashabi; Hannaneh Hajishirzi,6,2023,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Association for Computational Linguistics,,9802-9822,10.18653/v1/2023.acl-long.546,2212.10511,5
